45,97;45,41;0,57;2,186607149
46,71;46,94;-0,22;
45,38;47,81;-2,43;
46,46;47,66;-1,19;
45,64;44,69;0,95;
46,30;47,81;-1,51;
46,48;48,25;-1,77;
45,99;45,50;0,49;
47,17;47,34;-0,18;
51,69;48,22;3,47;
47,28;46,97;0,31;
47,11;48,50;-1,39;
47,58;48,81;-1,23;
47,01;46,56;0,44;
46,85;48,50;-1,65;
47,12;47,44;-0,32;
46,82;46,84;-0,02;
47,87;47,75;0,12;
47,66;45,03;2,63;
46,39;44,84;1,55;
46,11;44,84;1,26;
45,12;45,03;0,09;
46,14;45,28;0,86;
46,37;46,88;-0,50;
46,76;44,34;2,41;
46,08;44,78;1,30;
46,30;46,97;-0,67;
47,47;48,56;-1,09;
47,83;47,47;0,36;
46,58;45,41;1,17;
46,09;47,41;-1,32;
45,69;48,53;-2,84;
47,79;44,56;3,23;
46,30;46,63;-0,33;
47,20;47,66;-0,46;
47,05;47,25;-0,20;
46,75;46,38;0,37;
46,56;48,03;-1,47;
47,85;46,53;1,32;
47,08;48,34;-1,26;
45,49;47,03;-1,54;
46,61;48,41;-1,80;
46,05;47,19;-1,14;
52,80;49,66;3,15;
53,26;51,66;1,61;
49,05;45,16;3,89;
47,16;46,22;0,94;
48,01;46,50;1,51;
46,76;47,63;-0,86;
44,46;45,28;-0,82;
47,13;45,66;1,47;
46,74;47,34;-0,60;
46,33;47,25;-0,92;
44,96;46,44;-1,48;
45,78;46,06;-0,29;
47,70;45,03;2,67;
48,41;47,78;0,63;
47,03;46,34;0,69;
49,71;46,81;2,90;
47,86;48,06;-0,21;
47,19;45,31;1,88;
47,69;47,31;0,37;
48,06;45,72;2,34;
46,55;47,03;-0,48;
47,52;47,97;-0,45;
47,85;48,09;-0,24;
49,06;45,91;3,15;
47,61;48,72;-1,11;
48,02;45,28;2,74;
44,16;48,56;-4,40;
48,50;46,78;1,72;
49,94;47,41;2,53;
45,79;45,56;0,22;
45,32;44,81;0,51;
44,63;45,28;-0,65;
45,02;44,72;0,30;
45,76;45,31;0,45;
43,17;45,59;-2,42;
45,43;45,31;0,12;
44,27;44,53;-0,26;
47,18;47,75;-0,57;
45,41;44,81;0,60;
43,85;46,44;-2,59;
44,82;45,03;-0,21;
44,39;45,19;-0,80;
43,77;47,03;-3,27;
44,70;44,94;-0,24;
43,61;44,94;-1,33;
46,11;44,78;1,33;
43,41;45,56;-2,16;
45,87;44,06;1,80;
45,25;48,31;-3,06;
45,89;45,03;0,85;
44,65;48,56;-3,92;
45,16;45,19;-0,03;
45,18;44,78;0,39;
45,92;44,66;1,26;
45,96;45,50;0,46;
45,52;45,47;0,05;
45,98;45,75;0,23;
56,22;52,16;4,07;
39,16;43,88;-4,71;
39,36;44,59;-5,23;
39,48;44,53;-5,05;
42,97;42,69;0,28;
34,15;41,41;-7,25;
32,56;44,06;-11,50;
39,53;44,03;-4,50;
39,97;43,97;-3,99;
46,23;45,72;0,52;
48,35;44,94;3,41;
47,89;48,63;-0,74;
46,25;45,28;0,97;
47,75;46,22;1,53;
47,46;46,88;0,59;
45,75;45,16;0,59;
46,39;44,72;1,67;
46,36;44,50;1,86;
46,81;45,88;0,94;
44,11;44,97;-0,86;
45,96;44,78;1,18;
43,98;44,94;-0,95;
45,88;43,97;1,91;
45,16;44,84;0,31;
46,10;44,53;1,57;
47,51;44,53;2,98;
47,29;45,28;2,01;
48,03;44,84;3,19;
46,88;44,09;2,79;
46,19;44,72;1,47;
47,49;46,78;0,70;
46,66;47,41;-0,75;
46,76;47,03;-0,27;
49,60;47,28;2,32;
48,04;49,31;-1,27;
48,02;46,81;1,20;
51,63;50,25;1,38;
49,86;48,06;1,80;
51,86;48,72;3,14;
48,83;46,94;1,89;
52,78;48,13;4,65;
46,67;46,09;0,58;
47,09;45,03;2,05;
47,04;44,19;2,86;
49,13;46,69;2,44;
42,88;45,34;-2,46;
44,05;43,34;0,70;
45,36;45,31;0,05;
41,76;43,34;-1,58;
51,58;51,16;0,42;
46,33;44,38;1,95;
46,48;45,00;1,48;
